feature,feature_name,mean_non_default,mean_default,std_non_default,std_default,median_non_default,median_default,smd,abs_smd
Var_06,Depreciation And Impairment,62564875.58508145,13969955513.750818,3352520994.2801027,224797186345.96954,119961.442500949,20774613.4694397,0.08748256116944271,0.08748256116944271
Var_38,Trade And Other Payables Current,229219463.95986456,43632469792.58325,10292892951.21096,733902177062.0143,396167.406067252,67354485.3291664,0.08362889672223682,0.08362889672223682
Var_03_missing_flag,Cash And Cash Equivalents (missing flag),0.032819021120526114,0.020166073546856466,0.17816346348035572,0.14057648182151183,0.0,0.0,-0.07884721645779211,0.07884721645779211
Var_02_missing_flag,Assets Total (missing flag),0.0,0.0029655990510083037,0.0,0.05437973025610617,0.0,0.0,0.07712414862568741,0.07712414862568741
Var_18_missing_flag,IFRS_Assets Total (missing flag),0.0,0.0029655990510083037,0.0,0.05437973025610617,0.0,0.0,0.07712414862568741,0.07712414862568741
Var_11_missing_flag,Equity And Liabilities Total (missing flag),6.32351081320349e-05,0.0028469750889679717,0.00795183504997526,0.05328420610039202,0.0,0.0,0.07307387982081655,0.07307387982081655
Var_19_missing_flag,IFRS_Equity And Liabilities Total (missing flag),6.32351081320349e-05,0.0028469750889679717,0.00795183504997526,0.05328420610039202,0.0,0.0,0.07307387982081655,0.07307387982081655
Var_09,Earnings Before Interest Tax And Depreciation,120574087.07918029,48992186396.53637,4297809235.433775,1005356798833.8467,335672.72197456355,93415658.72057405,0.06874600688998812,0.06874600688998812
Var_03,Cash And Cash Equivalents,73156373.64559183,47998776388.07549,2861461213.986784,1076483054800.9325,194314.31660733,73390339.06610966,0.06296134626454661,0.06296134626454661
Var_08,Earnings Before Interest And Tax,56885444.42941071,35313591272.114235,2837838124.4151917,865068479008.6676,197516.9969401235,49131533.3739593,0.05763733677774139,0.05763733677774139
Var_30_missing_flag,Sales Excluding VAT (missing flag),0.00010840304251205984,0.0018979833926453143,0.010411160860510511,0.04352706970762839,0.0,0.0,0.05654913096298507,0.05654913096298507
Var_39_missing_flag,Working Capital (missing flag),0.0024119676958933313,0.00035587188612099647,0.04905274553059889,0.018862328759678165,0.0,0.0,-0.05532860357767385,0.05532860357767385
Var_20_missing_flag,Interest Expense (missing flag),0.0985383656434624,0.11542111506524318,0.2980425449285817,0.3195484221471786,0.0,0.0,0.05463979795777634,0.05463979795777634
Var_17_missing_flag,IFRS_Assets Non Current Total (missing flag),0.01635982583244503,0.010201660735468564,0.12685553713817077,0.10049271024095781,0.0,0.0,-0.05381326664104048,0.05381326664104048
Var_29_missing_flag,Revenues (missing flag),0.0,0.0014234875444839859,0.0,0.03770450725128324,0.0,0.0,0.05339190293250451,0.05339190293250451
Var_24,Profit Loss Before Tax,21354279.971193787,23937485033.357517,3360014280.0339165,705274752387.4249,155136.4215642595,42114579.86090265,0.04795596684936165,0.04795596684936165
Var_39,Working Capital,-202014436.60566416,31026582831.110474,14595082179.51584,966152479631.0846,171350.54397583648,118608076.701893,0.045705898821047836,0.045705898821047836
Var_22,Net Profit,6724516.785138591,19688748853.937447,3563241476.468493,611678149006.8623,133369.73489031702,33041638.58552065,0.04550450842489541,0.04550450842489541
Var_16_missing_flag,IFRS_Assets Current Total (missing flag),0.0031617554066017454,0.0011862396204033216,0.05614078002035496,0.0344234371055696,0.0,0.0,-0.04242411562846326,0.04242411562846326
Var_01_missing_flag,Assets Current Total (missing flag),0.0031617554066017454,0.0011862396204033216,0.05614078002035496,0.0344234371055696,0.0,0.0,-0.04242411562846326,0.04242411562846326
Var_14_missing_flag,Gross Profit (missing flag),0.0,0.000830367734282325,0.0,0.028805844113697226,0.0,0.0,0.04076663426157655,0.04076663426157655
Var_13_missing_flag,Financial Leverage (missing flag),0.001336970857648738,0.00023724792408066428,0.036540326054626725,0.015401940704114518,0.0,0.0,-0.039220638745262194,0.039220638745262194
Var_09_missing_flag,Earnings Before Interest Tax And Depreciation (missing flag),0.0,0.0007117437722419929,0.0,0.026670612531922124,0.0,0.0,0.037740329151963126,0.037740329151963126
Var_34_missing_flag,Tangible Net Worth (missing flag),0.0003342427144121845,0.0014234875444839859,0.018279332992445226,0.037704507251283235,0.0,0.0,0.03676270419232425,0.03676270419232425
Var_10_missing_flag,Eff Tang Net Worth Actual (missing flag),0.0003342427144121845,0.0014234875444839859,0.018279332992445226,0.037704507251283235,0.0,0.0,0.03676270419232425,0.03676270419232425
Var_20,Interest Expense,35618903.3038725,9593359756.462685,3294007546.4695334,379430521598.9823,50683.3092706659,8816392.008800805,0.03562227243062322,0.03562227243062322
Var_08_missing_flag,Earnings Before Interest And Tax (missing flag),9.033586876004987e-06,0.0005931198102016608,0.0030055925998054016,0.024348271887869432,0.0,0.0,0.033669751857925014,0.033669751857925014
Var_22_missing_flag,Net Profit (missing flag),0.0,0.00047449584816132857,0.0,0.021779048840472808,0.0,0.0,0.03081119238377666,0.03081119238377666
Var_24_missing_flag,Profit Loss Before Tax (missing flag),0.0,0.00047449584816132857,0.0,0.02177904884047281,0.0,0.0,0.030811192383776657,0.030811192383776657
Var_27_missing_flag,Return On Assets (missing flag),0.0004697465175522593,0.0,0.02166864318092925,0.0,0.0,0.0,-0.030658213827832625,0.030658213827832625
Var_26_missing_flag,Receivables Current (missing flag),0.03309002872680627,0.028113879003558717,0.17887249022306276,0.16530798654621479,0.0,0.0,-0.028893502137048773,0.028893502137048773
Var_31_missing_flag,Sales Total Assets (missing flag),0.0003613434750401995,0.0,0.01900568780683533,0.0,0.0,0.0,-0.026887574302524773,0.026887574302524773
Var_12_missing_flag,Equity And Reserves (missing flag),0.0003974778225442194,0.0010676156583629894,0.019932973264931302,0.03265887903418023,0.0,0.0,0.024769634818880056,0.024769634818880056
Var_25,Quick Ratio,-19.806015491374477,3357.2014955041263,7827.2133033290565,305778.574484204,1.026750194288155,1.401726050589735,0.015613408979427989,0.015613408979427989
Var_04,Current Ratio,-18.66188724428136,3382.0361380317045,7828.8270346915815,307987.9847295839,1.374684549684595,1.75007353854916,0.01561022026101625,0.01561022026101625
Var_37,Total Net Debt EBITDA,148.8320085786992,-23730.469308949196,39746.76300380194,2181716.6721238242,1.1912025468284,1.38004131514607,-0.01547626665350208,0.01547626665350208
Var_33,Senior Net Debt EBITDA,63.99692549103024,-20166.1636788157,18674.45483314195,1853036.6045642635,0.7737963050168399,0.9340993875292944,-0.01543861287708904,0.01543861287708904
Var_36_missing_flag,Total Net Debt (missing flag),0.008970351767872952,0.01043890865954923,0.0942866102121797,0.10164233059645053,0.0,0.0,0.014980155980073974,0.014980155980073974
Var_32_missing_flag,Senior Net Debt (missing flag),0.008988418941624962,0.01043890865954923,0.094380653394149,0.10164233059645053,0.0,0.0,0.01478903578867673,0.01478903578867673
Var_07,EBITDA Margin,1946.3399537822086,19345.594730598008,399330.67810618796,1778814.9360866316,0.121253453934207,0.12962928287264552,0.013497028421885797,0.013497028421885797
Var_23,Net Profit Margin,-1067.45859154776,-15030.241036098188,795923.5586218563,1349555.4198835432,0.0356642888988211,0.0353650117744857,-0.012603159425364042,0.012603159425364042
Var_31,Sales Total Assets,1813846.7415471785,1.2396026389121018,270493664.2689304,7.587207612869205,1.3889226882737251,0.6896389016274855,-0.009483271690789257,0.009483271690789257
Var_27,Return On Assets,1137249.8895875935,0.04471720635764702,171892042.37623596,0.29821884613854066,0.04075255521470035,0.0244810480878586,-0.009356536417794922,0.009356536417794922
Var_37_missing_flag,Total Net Debt EBITDA (missing flag),0.009250392961029107,0.010083036773428233,0.0957335154638649,0.09991272848280731,0.0,0.0,0.00850978679545981,0.00850978679545981
Var_33_missing_flag,Senior Net Debt EBITDA (missing flag),0.009268460134781116,0.010083036773428233,0.09582608587266749,0.09991272848280731,0.0,0.0,0.008321284313663198,0.008321284313663198
Var_35,Total Liabilities Total Assets,1.0808461626608354,0.5634093382663434,117.30830457700426,0.28944229256731174,0.6342286268651784,0.565965379500069,-0.006237955189314854,0.006237955189314854
Var_13,Financial Leverage,-7965.038920768319,3597.819022505487,4507881.515538759,251871.939927234,2.47173921960839,2.1820710216356947,0.003621853221506753,0.003621853221506753
Var_28,Return On Total Equity Reserve,-224.69189244740048,0.11737642034445797,87858.89208297522,2.6850353027537013,0.121996473101564,0.06868196432717899,0.003618624242737117,0.003618624242737117
Var_05_missing_flag,Debt Net Worth (missing flag),0.009864676868597445,0.010083036773428233,0.09883042676227362,0.09991272848280731,0.0,0.0,0.0021973754698080177,0.0021973754698080177
Var_05,Debt Net Worth,2572.0592330456343,30.524043847157174,2298008.7580487346,1378.4671671946178,0.253396120220796,0.227154275316551,-0.0015640814572930833,0.0015640814572930833
Var_15,Gross Profit Margin,-0.9193473483949616,-0.037017198135417546,805.3353757037527,27.515307854411276,0.502826051350983,0.3800022743299905,0.0015485170997373995,0.0015485170997373995
